doc,severity,finding,status,note,file,test
14_MarketEngineDispatcher.md,medium,Gas Griefing in `_enforceApprovedModule`: Expensive Staticcall on Every Delegatecall,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,low,Missing Zero-Address Validation for Oracle Updates — Admin Can Set Null Oracles,false positive,Current setters/initializer guard these critical invalid values where they matter.,src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/core/MarketEngineAdminModuleBranches.t.sol
14_MarketEngineDispatcher.md,low,Missing Access Control on `receive()` — Contract Accepts Arbitrary ETH,false positive,ETH acceptance is not a meaningful exploit in the current ERC20-based accounting model.,src/engine/MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,low,Precision Loss in `_mulBps` for Small Values,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketTypes.sol,
14_MarketEngineDispatcher.md,low,Missing Validation: `maxOutcomes = 0` Allowed in Initialize,false positive,Current setters/initializer guard these critical invalid values where they matter.,src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/core/MarketEngineAdminModuleBranches.t.sol
14_MarketEngineDispatcher.md,low,Epoch `claimLiabilityTotal` Set to Zero in Refund Mode But `totalRefundLiability` Used for Claims — Potential Accounting Confusion,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
14_MarketEngineDispatcher.md,low,Unbounded `_userEpochs` Array Growth — Potential DoS in `claimMany`,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
14_MarketEngineDispatcher.md,gas,Gas Optimization: Redundant `_enforceModuleStorageCompatibility` Call in `_enforceApprovedModule`,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineDispatcher.sol,
14_MarketEngineDispatcher.md,gas,Gas Optimization: `_setRemainingWinningStake` Iterates Full `MAX_OUTCOMES` Array Unnecessarily,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineState.sol,
14_MarketEngineDispatcher.md,informational,Informational: `__gap` Size May Be Insufficient After Adding Dispatcher State Variables,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
14_MarketEngineDispatcher.md,informational,"Informational: `validateCheckpointBPublishTime` Only Checks Monotonicity Against `checkpointA`, Not `checkpointA_B`",duplicate,Informational item; not a remediation blocker for the current codebase.,MarketTypes.sol,
